Time,EcoName,NumActiveSites,AboveGroundBiomass_abiebals,AboveGroundBiomass_acernegu,AboveGroundBiomass_acerrubr,AboveGroundBiomass_acersacc,AboveGroundBiomass_acerspic,AboveGroundBiomass_betualle,AboveGroundBiomass_betupapy,AboveGroundBiomass_celtis,AboveGroundBiomass_fraxamer,AboveGroundBiomass_fraxnigr,AboveGroundBiomass_fraxpenn,AboveGroundBiomass_larilari,AboveGroundBiomass_ostrvirg,AboveGroundBiomass_piceglau,AboveGroundBiomass_picemari,AboveGroundBiomass_pinubank,AboveGroundBiomass_pinuresi,AboveGroundBiomass_pinustro,AboveGroundBiomass_popubals,AboveGroundBiomass_popudelt,AboveGroundBiomass_popugran,AboveGroundBiomass_poputrem,AboveGroundBiomass_prunpens,AboveGroundBiomass_prunsero,AboveGroundBiomass_prunvirg,AboveGroundBiomass_queralba,AboveGroundBiomass_querelli,AboveGroundBiomass_quermacr,AboveGroundBiomass_querrubr,AboveGroundBiomass_salix,AboveGroundBiomass_thujocci,AboveGroundBiomass_tiliamer,AboveGroundBiomass_ulmuamer,AboveGroundBiomass_ulmurubr,
0, MN101, 1881, 762.804891015417, 0, 169.939393939394, 251.725677830941, 0, 329.534290271132, 1001.57044125465, 0, 348.801701222754, 0, 0, 0, 0, 2600.84954811271, 0, 604.424242424242, 3779.26953748006, 3489.45135566188, 0, 0, 0, 2374.37958532695, 0, 0, 0, 0, 2789.51196172249, 0, 323.810738968634, 0, 4762.99415204678, 241.04625199362, 0, 0, 
0, MN102, 7920, 248.969696969697, 0, 287.705303030303, 171.257828282828, 0, 475.088383838384, 2016.09911616162, 0, 453.713888888889, 0, 0, 0, 0, 772.916161616162, 0, 836.482702020202, 2866.40909090909, 4054.6547979798, 0, 0, 0, 3584.49696969697, 0, 0, 0, 0, 3562.39204545455, 0, 569.750757575758, 0, 2666.58257575758, 252.265656565657, 0, 0, 
5, MN101, 1881, 12.9851143009038, 0, 208.71557682084, 5.87878787878788, 0, 18.688995215311, 251.454545454545, 0, 137.709197235513, 0, 0, 0, 0, 41.5433280170122, 0, 262.975544922913, 125.076023391813, 91.1451355661882, 0, 0, 0, 1090.97820308347, 0, 0, 0, 0, 417.539606592238, 0, 94.3253588516746, 0, 62.2472089314195, 269.98139287613, 0, 0, 
5, MN102, 7920, 2.43939393939394, 0, 244.233585858586, 1.58623737373737, 0, 5.95164141414141, 326.648232323232, 0, 148.045202020202, 0, 0, 0, 0, 7.63434343434343, 0, 233.627272727273, 628.951515151515, 36.0123737373737, 0, 0, 0, 674.262752525252, 0, 0, 0, 0, 143.059217171717, 0, 167.956944444444, 0, 16.7416666666667, 304.604419191919, 0, 0, 
10, MN101, 1881, 7.72833599149389, 0, 970.482721956406, 6.99202551834131, 0, 15.3258904837852, 413.261562998405, 0, 310.756512493355, 0, 0, 0, 0, 22.3524720893142, 0, 1017.49867091972, 110.54120148857, 26.5661881977671, 0, 0, 0, 1413.50930356194, 0, 0, 0, 0, 240.548112706007, 0, 165.052099946837, 0, 44.9877724614567, 910.129718234981, 0, 0, 
10, MN102, 7920, 0.935227272727273, 0, 799.436616161616, 1.43989898989899, 0, 4.45378787878788, 694.761237373737, 0, 309.457070707071, 0, 0, 0, 0, 2.82449494949495, 0, 1081.97411616162, 925.356186868687, 11.3645202020202, 0, 0, 0, 1205.25101010101, 0, 0, 0, 0, 141.536237373737, 0, 313.063257575758, 0, 12.2099747474747, 683.614646464647, 0, 0, 
15, MN101, 1881, 3.01860712387028, 0, 949.869218500798, 4.4327485380117, 0, 11.0967570441255, 399.283359914939, 0, 290.505050505051, 0, 0, 0, 0, 8.90643274853801, 0, 989.525784157363, 65.2445507708666, 7.05847953216374, 0, 0, 0, 1222.87825624668, 0, 0, 0, 0, 139.879851143009, 0, 159.680489101542, 0, 15.0388091440723, 873.33971291866, 0, 0, 
15, MN102, 7920, 0.150126262626263, 0, 731.880176767677, 0.733080808080808, 0, 2.26022727272727, 618.429545454545, 0, 258.334217171717, 0, 0, 0, 0, 0.803661616161616, 0, 983.059848484848, 955.558585858586, 3.07676767676768, 0, 0, 0, 1092.63522727273, 0, 0, 0, 0, 94.7332070707071, 0, 269.981313131313, 0, 4.26590909090909, 610.478156565657, 0, 0, 
20, MN101, 1881, 4.19351408825093, 0, 2436.38064859118, 6.32163742690059, 0, 16.0233918128655, 769.50451887294, 0, 512.437533227007, 0, 0, 0, 0, 11.3285486443381, 0, 1770.86018075492, 118.616693248272, 5.62200956937799, 0, 0, 0, 2094.41520467836, 0, 0, 0, 0, 69.7628920786815, 0, 240.708665603402, 0, 20.8692185007974, 1811.32323232323, 0, 0, 
20, MN102, 7920, 0.0794191919191919, 0, 1218.19330808081, 0.574621212121212, 0, 2.11792929292929, 1009.40984848485, 0, 332.479797979798, 0, 0, 0, 0, 1.48686868686869, 0, 1535.00492424242, 1306.97310606061, 2.80328282828283, 0, 0, 0, 1783.4404040404, 0, 0, 0, 0, 125.233207070707, 0, 342.758207070707, 0, 3.26287878787879, 837.028535353535, 0, 0, 
25, MN101, 1881, 2.88144603934078, 0, 2294.81977671451, 4.9973418394471, 0, 14.7692716640085, 772.233386496544, 0, 467.264752791069, 0, 0, 0, 0, 10.2791068580542, 0, 1593.55980861244, 128.380648591175, 5.62200956937799, 0, 0, 0, 1969.20680489102, 0, 0, 0, 0, 42.4800637958533, 0, 225.127591706539, 0, 17.2668793195109, 1659.72461456672, 0, 0, 
25, MN102, 7920, 0.0486111111111111, 0, 1046.26477272727, 0.348737373737374, 0, 1.52209595959596, 927.012121212121, 0, 228.788636363636, 0, 0, 0, 0, 1.19545454545455, 0, 1221.98939393939, 1328.54090909091, 0.677272727272727, 0, 0, 0, 1719.16767676768, 0, 0, 0, 0, 80.9453282828283, 0, 258.048863636364, 0, 2.76691919191919, 677.756691919192, 0, 0, 
30, MN101, 1881, 4.11642743221691, 0, 3223.84688995215, 6.43168527379054, 0, 17.0239234449761, 1070.9696969697, 0, 524.223817118554, 0, 0, 0, 0, 9.28335991493886, 0, 2016.41414141414, 169.565124933546, 9.74428495481127, 0, 0, 0, 2972.7889420521, 0, 0, 0, 0, 66.5321637426901, 0, 249.737373737374, 0, 17.5326953748006, 2160.18926103137, 0, 0, 
30, MN102, 7920, 0.0823232323232323, 0, 1282.35025252525, 0.531691919191919, 0, 1.27954545454545, 1188.28712121212, 0, 210.859217171717, 0, 0, 0, 0, 1.30795454545455, 0, 1415.88093434343, 1465.69621212121, 1.04520202020202, 0, 0, 0, 2207.91868686869, 0, 0, 0, 0, 64.3459595959596, 0, 272.454797979798, 0, 2.73674242424242, 712.15404040404, 0, 0, 
