ID,Story,Description,Checklist,Comments,Labels,Due Date,Members
1,"Info about this ""QAQC To Do"" list","To Do

The items below are LANDIS-II repos that (1) are ready to be QAQC tested (as documented by GitHub ""Merged"" actions or flagged with a ""Ready-for-Testing"" milestone), (2) are ready for standardization and documentation changes, and/or (3) need a new installer to accompany a new release. 

Repo standardization includes:
a) re-organizing and standardizing repo directories \deploy, \src, \testings
b) synchronizing .csproj, .iss, and ExtInfo.txt files
c) standardizing .iss files for easy replication to new extensions
d) easily updatable/replicable README.txt

Typically, new releases will require the additional QAQC step of beta-testing the release (ie, the newly-built installer) against a real (user-defined) dataset. 

",,,,,
4,"Info about this ""QAQC In-Progress"" list","The items below are LANDIS-II repos that are currently being QAQC tested.
",,,,,
9,"Info about this ""QAQC Done"" list","Completion will include a Project Work Log (PWL) .txt file documenting QAQC testing , clean-up and standardization, and/or release testing ",,,,,
11,[LANDIS-II-Foundation/Extension-Biomass-Succession -- 6(a)] ConfirmedReleaseVersion ==> 4.0,"* Repo standardization and cleanup
* Example files not working (#2)
* Activate Climate Library in Biomass-Succession #6
* Restructure and Fix to Work with Biomass Cohorts #8
* Needs CohortPartialMortality to use the new Library.BiomassCohorts-v2 #9
* Update documentation (Issue #10)",this repo ready,,,,
12,[LANDIS-II-Foundation/Extension-Output-Biomass -- 9] ConfirmedReleaseVersion ==> 2.2,"* Restructure and Metadata (Pull #2)
* Needs metadata (Issue #1)
* update example to s2e1
",this repo ready,,,,
15,[LANDIS-II-Foundation/Core-Model -- 2] ConfirmedReleaseVersion ==> 6.2.1,"* Restructure away from SVN and remove /sdk directory #15
* Restructured CoreModel #16
* Spp name added to error messages; version number added #17
* Virtual methods #18
* Fix for Issue #8 plus some small corrections #19",this repo ready,,,,
16,[LANDIS-II-Foundation/Extension-Base-BDA -- 8] ConfirmedReleaseVersion ==> 3.0.1,"* Tandem method changes with virtual and override #2
* Repo clean-up and standardization",this repo is ready,,,,
17,[LANDIS-II-Foundation/Library-Harvest-Mgmt] & [LANDIS-II-Foundation/Extension-Biomass-Harvest] -- PR10,"* SingleRepeat option not functional
https://github.com/LANDIS-II-Foundation/Extension-Biomass-Harvest/issues/22


",,"QAQC passed per recommendation of B.Cassell and A. Ruzicka
https://github.com/LANDIS-II-Foundation/Library-Harvest-Mgmt/pull/10
Austen pushed changes to https://github.com/LANDIS-II-Foundation/Extension-Biomass-Harvest/pull/24
Austen pushed changes to https://github.com/LANDIS-II-Foundation/Library-Harvest-Mgmt/pull/8 on 11 July; merged 
will need to rebuild Landis.Library.HarvestManagement-v2.dll (becomes v3)",,,
18,[LANDIS-II-Foundation/LANDVIZ     -- 1] ?? ConfirmedReleaseVersion ==> 1.1 ??,"* Updates to PreProcTool rebuild protocol #19
* Area units need to be flexible #18",this repo technically ready for v1.1  ??,,,,
19,[LANDIS-II-Foundation/Extension-Biomass-Harvest -- 3(a)] ConfirmedReleaseVersion ==> 3.2,"* Repo clean-up and standardization
* Biomass Harvest not communicating with succession for partial cohort disturbance #13
* A new issue (Slack, 8 Apr) with parsing biomass reductions.  The parser no longer recognizes 100% harvesting; the default if the biomass reduction is absent (This issue traced to Library.Biomass.Harvest.)",this repo released,,,,
20,[LANDIS-II-Foundation/Extension-Base-Harvest -- 4],"* Repo clean-up and standardization
* Correct release version should be 3.1 (Issue #18)
",,,,,
21,[LANDIS-II-Foundation/Extension-NECN-Succession -- 5] ConfirmedReleaseVersion ==> 4.2,* Repo clean-up and standardization,this repo is ready,,,,
24,[LANDIS-II-Foundation/Library-Succession] --PR8,"* Planting recurs at each succession timestep
https://github.com/LANDIS-II-Foundation/Extension-Base-Harvest/issues/21
* Reset selectedSpecies[site] to false after attempting to plant
https://github.com/bmarron18/Library-Succession/pull/1",,"BMiranda pushed changes to https://github.com/bmarron18/Library-Succession/pull/1 on 19 July; merged
Brian Miranda may have fixed  - Because this fix was applied to the Succession Library, all succession extensions will need to be released with this updated library.",,,
25,[LANDIS-II-Foundation/Extension-Biomass-Insects -- 16] ConfirmedReleaseVersion ==> 2.1,"* Needs metadata output (Issue #1)
* Metadata and File Restructure (Pull #2)
* Quick Bug Fix (pull #4)
* Remove Landis.Extension.Succession.Biomass.dll as a requisite build library (issue #6)
* Removed Landis.Extension.Sucession.Biomass prerequisite (pull #7)",this repo ready,,,,
28,MISC,,,,,,
31,[LANDIS-II-Foundation/Extension-Output-Biomass-Reclass] -- PR5,"* Can or does this extension work with NECN? (yes, closed issue #5)
* Works with Biomass Succession?https://github.com/LANDIS-II-Foundation/Extension-Output-Biomass-Reclass/issues/6
* test Rob's latest (done)",,"passed QAQC test run w/ Biomass Succession

Yes, works with NECN",,,
35,"Info about this ""Programming To Do"" list",Programming tasks are assigned to individuals from repo Issues posted in GitHub. This is simply a list of Issues thta have been assigned.assigned.,,,,,
36,[LANDIS-II-Foundation/Extension-Output-Biomass-By-Age -- 11] ConfirmedReleaseVersion ==> 2.2,"* Needs metadata output #1
* Restructure and Metadata #2",this repo is ready,,,,
44,[LANDIS-II-Foundation/Extension-Output-Maximum-Spp-Age -- 14] ConfirmedReleaseVersion ==> 2.1,"* Needs to be migrated from extensions-output sub-directory (Issue #1)
*  Needs metadata output (Issue #2)",this repo is ready,,,,
48,[LANDIS-II-Foundation/Extension-Base-Wind -- 12] ConfirmedReleaseVersion ==> 2.2,* Repo standardization and cleanup,this repo is ready,,,,
49,[LANDIS-II-Foundation/Extension-Base-Fire -- 10] ConfirmedReleaseVersion ==> 3.1,"Repo work:

*  Needs metadata output (issue #1)
*  Repo standardization and cleanup
*  Restructure and Metadata(pull  #2)
* Fix for Potentially Problematic Code (pull #3)
* Bug fix and misc (merge #5)
* Fixed metadata bug (pull #1 Vincent)

",this repo is ready,,,,
50,[LANDIS-II-Foundation/Extension-Output-Cohort-Statistics -- 13] ConfirmedReleaseVersion ==> 2.2,"* Needs to be migrated from extensions-output sub-directory (Issue #1)
* Needs metadata output (Issue #2)
* Migrate to Metadata (Pull #4)",this repo is ready,,,,
51,All new extension releases to use Landis.Library.Utilities.,,,,,,
57,[LANDIS-II-Foundation/Extension-Output-Biomass-Reclass -- 15] ConfirmedReleaseVersion ==> 2.1,"* QAQC&RepoStd 
* Needs metadata (issues #1)",this repo is ready,,,,
58,Develop R scripts for running model in batch mode.,,,,,,"bmarron18
Robert Scheller"
59,Develop R scripts to run the model and subsequently generate LANDVIZ web sites.,,,,,,"bmarron18
Robert Scheller"
60,Integrate the Lichti seed dispersal code into LANDIS-II,,,,,,"bmarron18
Robert Scheller"
61,[LANDIS-II-Foundation/Extension-Dynamic-Biomass-Fuels -- 20] ConfirmedReleaseVersion ==> 2.2,"* Needs metadata (Issue #1)
* Move to Landis.Utilities (Issue #2)
",this repo ready,"Recommend name sync check (GitHub, installer, Landis Namespace, examples\<folder name>) after ReleaseParty",,,
62,[LANDIS-II-Foundation/Extension-Dynamic-Fuel-System -- 19.2] ConfirmedReleaseVersion ==> 2.1,"* Metadata and Restructure (pull) #2
",this repo ready," Recommend post-ReleaseParty extension name sync

from GitHub:
Extension-Dynamic-Fuels

from PlugIn.cs:
public static readonly string ExtensionName = ""Dynamic Fuel System"";

from Dynamic Fuel Component 2.1.txt:
LandisData   Extension

Name         ""Dynamic Fuel System""",,,
63,18 Apr 2017,"Brooke:

1) be able to select stands based on highest biomass. This used to be a feature but was removed some time ago (highest av biomass in stand?)
2) when I include SingleRepeat in a prescription, it functions (e.g., repeats 10 years later), but then that prescription is never again used anywhere on the landscape. It seems like a pretty weird bug

Chris Glidden:

Yes, these positions could fit as an Analyst Programmer classification. A temporary classified appointment can span the duration of 1 year or up to 1039 hours worked, whichever comes first

Austen:

errors in the code which prevent Biomass Browse from being built. Is this a known problem? Has it ever built? Also please add Landis.Library.BiomassCohorts-vBrowse to the support dll repo","Pull request #3 BaseFire ==> RMS approve? May fix QAQC run issues?
Biomass Harvest ==> Add issues from Brooke (see above)?
Post-graduation work ==> interested (see above)?
Lunch with Eric G.
Biomass Browse ==> needs major work (see above)?
Biomass Succession ==> change output anpp map output location (modify Outputs.cs)? Actually, can output maps and .csv files be sent to a folder(s) rather than getting mixed in with the scenario files?
tutorial time ==> can we bill for a few hrs of VS/C# tutorial?
Namespace change ==> what is needed, how to proceed.
Biomass Insects ==> help! runtime error: ""The filename template ""insects/{insectName}-{timestep}.img"" has an unknown variable: {timestep}""
Fire Brigade - anyone?",,,,
64,11 Apr 2017,No mtg ==> USIALE conference,,,,,
65,Part II: ReleaseParty (Ruzicka/Schuster),"Step-by-step:

1) Select a repo from Trello ""QAQC Done"" cards
2) Add your selected repo to the ""RepoUpdatesCompleted"" checklist below
3) Open your selected repo from the bmarron/<repo> forks in GitHub
4) Run thru a-e below using the ""edit pencil"" to make changes to files
5) After changes entered, use the comment, ""QAQC_ReleaseUpdates_2"" for the commit/push
6) When repo changes are complete, check off the repo in the ""RepoUpdatesCompleted"" checklist","[LANDIS-II-Foundation/Extension-Biomass-Drought --21]
[LANDIS-II-Foundation/Extension-NECN-Succession -- 5]
LANDIS-II-Foundation/Extension-Base-BDA -- 8
[LANDIS-II-Foundation/Core-Model
[LANDIS-II-Foundation/Extension-Output-Biomass -- 9]  
[LANDIS-II-Foundation/Extension-Base-Fire -- 10]
[LANDIS-II-Foundation/Extension-Output-Biomass-By-Age -- 11]
[LANDIS-II-Foundation/Extension-Base-Wind -- 12]
[LANDIS-II-Foundation/Extension-Output-Cohort-Statistics -- 13]
[LANDIS-II-Foundation/Extension-Output-Maximum-Spp-Age -- 14]
[LANDIS-II-Foundation/Extension-Output-Biomass-Reclass -- 15]
[LANDIS-II-Foundation/Extension-Dynamic-Fire -- 19.1]
[LANDIS-II-Foundation/Extension-Biomass-Insect -- 16]
[LANDIS-II-Foundation/Extension-Output-Age-Reclassification -- 17]
[LANDIS-II-Foundation/Extension-Dynamic-Fuels -- 19.2]
[LANDIS-II-Foundation/Extension-Biomass-Drought --21]
[LANDIS-II-Foundation/Landis-Age-Only-Succession -- 28] 
[LANDIS-II-Foundation/Extension-Biomass-Harvest -- 3(a)]",,,,
66,[LANDIS-II-Foundation/Extension-Biomass-Drought --21] ConfirmedReleaseVersion ==>1.2,"* Needs metadata (issue #1) [There are two components to this extension. The drought generator and the drought disturbance. Both need to be rebuilt and the installer should include both dlls]

* File Restructure and Metadata (pull #2)",this repo ready,Passed QAQC ,,,
70,[LANDIS-II-Foundation/Extension-Output-Age-Reclassification -- 17] ConfirmedReleaseVersion ==> 2.1,"* Needs to be migrated over from extensions extensions-output (#1)
* Needs metadata output (issue #2)
* Added Metadata (pull #4)",this repo is ready,,,,
71,[LANDIS-II-Foundation/Library-Biomass-Harvest -- 18] ConfirmedReleaseVersion ==> N/A,"* harvest prescriptions do not recognize 100% in Extension-Biomass-Harvest
*  ""Library.Biomass.Harvest-v2.dll"" is linked to Extension-Biomass-Harvest, through ""Landis.Extension.BiomassHarvest.dll""",,,,,
74,25 Apr 2017,"* Bruce
Basically, these repos call inputs and outputs out of sequence in their respective _SetUp files. Confusing!
","post-metadata tasks ==> new priorities and task assignments? Go thru ToDo lists
BaseFire & BaseBDA & Biomass Insect==> is it possible to do src code change to correct input/output sequence in SetUp files (see above)?
Extension-Biomass-Insect -- 16(a)==> should have failed QAQC b/c I hadn't yet changed all references to the correct ecoregions in the PRISM weather data .csv. It ran just fine. This OK?
Additional support repos ==> we now have a standardized format for scenario examples packed with installers. These are coded based on the succession used. Create new support repo? Others?
Extension-Biomass-Insect -- 16(b) ==> needs QAQC?
https://github.com/dcyr ==> who is this French Canadian?!
Biomass Succession ==> can we move forward?
GitHub queries ==> command line options for you!
Extension-Biomass-Insect -- 16(c) ==> programming check to determine best soln (see issue comments in GitHub)?",,,,
75,2 May 2017,,"installer auxiliary libraries ==> do we need them? What about Landis.Extension.BaseHarvest.dll being required as auxiliary for Extension-Biomass-Drought? Add as a requirement for use in the README?
Extension-AgeOnly-Succession ==> assign to?
Extension-Dynamic-Biomass-Fuels ==> assign to?
Shouldn't the Dynamic Fire Fuel System be integrated into one repo like Biomass Drought?
Extension-Output-Age-Reclassification ==> assign to?
New channel for Trello announcements?",,,,
77,[LANDIS-II-Foundation/Extension-Dynamic-Fire-System -- 19.1] ConfirmedReleaseVersion ==> 2.1,"*  Needs climate library error message (issue #2)
* Restructure and Metadata (pull #3)
* Fix for Potentially Problematic Code (pull #3)
",this repo ready,,,,
78,[LANDIS-II-Foundation/Extension-Biomass-Browse] -- 21,"* Needs to be migrated from extensions-disturbance\ sub-directory (issue #1)
* Missing Project Reference DLL ""Landis.Library.BiomassCohorts-vBrowse"" (issue #2)
* Incorrect Code Prevents Build (issue #3)",,,,,Austen Ruzicka
79,[LANDIS-II-Foundation/Support-Other --22] ConfirmedReleaseVersion ==> N/A,"* Add 'Gold Standard' examples (ie, complete, QAQC-tested scenarios)",,,,,
80,[LANDIS-II-Foundation/Library-Succession -- 23] ConfirmedReleaseVersion ==> N/A,* Needs Restructuring (issue #6),this repo done,,,,
81,9 May 2017,,"Library-Biomass-Cohort ==> does this repo need QAQC&RepoStd? (And what is the fxn of this library?) yes, not high priority
gitk ==> have you tried this awesome git BASH utility?
AR/V ratio ==> maybe adjust?",,,,
83,[LANDIS-II-Foundation/Library-Biomass-Cohort -- 24] ConfirmedReleaseVersion ==> N/A,* basic repo standardization,this repo is done,,,,
84,[LANDIS-II-Foundation/Extension-Output-Bird-Habitat -- 25]  ==> not part of ReleaseParty,"* Needs update to biomass library (issue #2) (ie v2 in csproj)
* Needs restructuring (issue #3)
* Rob cleaned things up considerably and it is now compiling correctly. It needs to be tested whether it is compatible with the Biomass Library - it should NOT require NECN. Should work with Biomass Succession. The example should use Biomass Succession, not NECN.
","""README_OutputBirdHabitat.txt"" would benefit from a description of the extension
NO changes made to the example files (now in deploy\examples\
Examples do not currently reflect the LANDISII change from ""Century"" to ""NECN""
Recommend updating the examples to a new set based on the NECNSuccession_s3e1 set in Support-Other
Cosmetic changes made throughout the repo from ""century"" to ""NECN""
Build of ""Landis.Extension.Output.BirdHabitat.dll"" failed ==> missing reference .dll in ""output-bird-habitat.csproj""",Done as much as possible (per Rob); will need extra input to continue,,,
85,16 May 2017,,"Extension-Output-Bird-Habitat ==> assign to?
climate library tests ==> recommended tests to check functionality of extensions using climate library? (eg, Biomass Insect, Biomass Succession, Extension-Dynamic-Biomass-Fuels[has two weather inputs], others?) 
check-in ==> close out Action Items (25 Apr)?
trouble-shooting C# code ==> tricks you use? LINQPad to run Roslyn compiler?
Avoid NSA-cyber weapons ==> switch to Linux?
PRISM weather data ==> major typo; new data needed; many repos affected.",,,,
86,[LANDIS-II-Foundation/Extension-Output-Biomass-PnET -- 26] ConfirmedReleaseVersion ==> N/A,"* Needs metadata (issue #1)

* Metadata For OutputVariable Tables? (issue #3)
",this repo NOT ready,on hold per Rob,,,
87,27 June 2017,,"NECN+BiomassHarvest ==> what is the source of the error ""the data type of site variable succession.biomasscohorts is landis.library.biomasscohorts.isitecohorts, not landis.library.biomasscohorts.isitecohorts"" (reported by Austen and Charles). Rob reports a fix to ExtensionBiomassHarvest (involved recasting the SiteVars.Cohorts.) Check in other repos?
Gaming w/ LANDIS-II
ReleaseMadness ==> Thank you!
End of work ==> 15 July?
New Output Extension tasks/checks ==> Output Biomass and Output Biomass by Age not reporting Metadata (Output Biomass seems OK). Double check Metadata outputs for all released repos?
Do we need a schematic (I/O circuit diagram) for LANDIS-II core variables? And extension variables, too? ALL variables?! Maybe like B. Miranda's flow chart? (Is LANDIS-II now a SWAT-level model with major documentation needs?)
QAQC testing ==> currently informal combinations (succession+disturbance+output); move to a formal combinatorics approach?
Status updates on outstanding repo fixes
The Charles Tests ==> Are we good?
Biomass Insects  ==> merge BRM_Updates branch",,,,
88,23 May 2017,* Short mtg -- Austen to work w/ Brooke; Vincent to work w/ Bruce,"official release tags
current (in the repo now) Core-Model ==> v6.1 or v6.2?
(re)builds of Core-Model and extensions with other than .NET 3.5 ==> OK or disaster potential?
can search namespace for a string? (eg, What extensions call Landis.Library.HarvestManagement-v2.dll?)
auxiliary files in installer (.iss ) files==> they are needed after all, yes? (the case of Biomass Succession)
How to recompile Spatial Model Library?",,,,
89,[LANDIS-II-Foundation/Extension-Age-Only-Succession -- 28] ConfirmedReleaseVersion ==> 4.1.1,* QAQC and RepoStd,this repo ready,,,,
90,30 May 2017,,"release party ==> sometime the week of 12 June (final week)
core commit ==> protocol",,,,
91,[LANDIS-II-Foundation/Landis-Spatial-Modeling-Library -- 27] ConfirmedReleaseVersion ==> N/A,"* simplify (re)build
* basic repo cleanup",this repo done,,,,
92,6 June 2017,,"release party ==> 15 June, 4- 6 pm Rob's office (do checklist after agenda items)
The Harvest Suite ==> update
Biomass Drought ==> to Vincent?
OutputBirdHabitat ==> we can't do it all
release party ==> The Checklist
QAQC request ==> repo programming changes to QAQC by 11 Jun 10 pm",,,,
93,Standardizations,"See attached for standardization changes.

* README added/corrected? 
* QAQCStd examples added? 
* repo restructure complete?
* installer .iss standardized? ",,,,,
94,Part I: ReleaseParty (Marron),"Step-by-step:

1) Fork ALL repos, in sequence, from Trello ""QAQC Done"" cards; give Austen/Vincent authorization
2) Check that all repos have correct QAQCstd examples
3) Check that repo correctly restructured
4) Confirm release version (from Rob); post to Trello
5) clone each repo, run a-d below
6) After changes made, use the comment, ""QAQC_ReleaseUpdates_1"" for the commit/push","Library-Succession README has no description
Library Biomass Cohort README has no description",,,,
96,Part V: ReleaseParty (Scheller),"Step-by-step:

1) Tag as release
2) Update website documentation 
3) Update installer on website
","Extension-Base-Wind
Extension-Age-Only-Succession
Extension-Output-Maximum-Spp-Age
Extension-Output-Cohort-Statistics
CoreModel
Extension-NECN-Succession
Extension-Biomass-Succession
Extension-Output-Biomass-Reclass
Extension-Output-Biomass
Extension-Biomass-Drought
Extension-Base-BDA
Extension-Biomass-Harvest
Extension-Base-Fire
Extension-Output-Biomass-By-Age
Extension-Biomass_Insects
Extension-Output-Age-Reclassification
Extension-Base-Harvest
Extension-Dynamic-Fuel-System
Extension-Dynamic-Fire-System
Extension-Dynamic-Biomass-Fuels",,,,
